Short Item No,Business Unit,"Location ",Lot Serial Number,Primary Location,Lot Stat Code,Quantity On Hand,Quantity Backordered,Quantity On P.O.,Quantity On WO/RC,Quantity On other 1,Quantity On Other 2,Quantity on Other PO,Quantity Hard Committed,Qty Soft Committed,Quantity On Future,WO Soft Commit,Qty Hard Committed WO,Quantity In Transit,Quantity In Inspection,Quantity In Operation 1,Quantity In Operation 2,Last Rcpt Date,Secondary Quantity Hard Committed,Secondary Quantity Soft Committed,Secondary Quantity On Hand,Secondary Quantity On WO/RC,Secondary Quantity On Purchase Order,Secondary WO Hard Committed,Secondary WO Soft Commit,Quantity on Project Hard Commit,Quantity on Project Hard Commit,Unique Configuration ID
2031,"         901",SHIPDOCK,748715,S,,4,,,,,,,,,,,,,,,,12/14/2022,,,,,,,,,,
2031,"         901",SHIPDOCK,748715TC1,S,,2,,,,,,,,,,,,,,,,12/14/2022,,,,,,,,,,
2195,"         901",FP002,017721,S,,27,,,,,,,,,,,,,,,,02/12/2022,,,,,,,,,,
2195,"         901",TM03,751199,S,,54,,,,,,,,,,,,,,,,12/16/2022,,,,,,,,,,
13070,"         901",F0TT05,720378,S,,60,,,,,,,,,,,,,,,,10/28/2022,,,,,,,,,,
13070,"         901",F0TT05,720403,S,,60,,,,,,,,,,,,,,,,10/28/2022,,,,,,,,,,
13070,"         901",FGOF,720200,S,,60,,,,,,,,,,,,,,,,10/27/2022,,,,,,,,,,
13070,"         901",SERVICE,720182,S,,5,,,,,,,,,,,,,,,,12/12/2022,,,,,,,,,,
13070,"         901",SERVICE,720284,S,,35,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
13071,"         901",FP024,698308,S,,60,,,,,,,,,,,,,,,,09/26/2022,,,,,,,,,,
13071,"         901",FP026,697796,S,,60,,,,,,,,,,,,,,,,09/24/2022,,,,,,,,,,
13071,"         901",SERVICE,697721,S,,18,,,,,,,,,,,,,,,,12/12/2022,,,,,,,,,,
13071,"         901",SERVICE,697774,S,,47,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
13072,"         901",FGOF,565637,S,,60,,,,,,,,,,,,,,,,01/31/2022,,,,,,,,,,
13072,"         901",SERVICE,565620,S,,31,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
13073,"         901",F0KK03,562940,S,,60,,,,,,,,,,,,,,,,01/26/2022,,,,,,,,,,
13073,"         901",F0KK03,563006,S,,60,,,,,,,,,,,,,,,,01/26/2022,,,,,,,,,,
13073,"         901",F0KK03,563046,S,,60,,,,,,,,,,,,,,,,01/27/2022,,,,,,,,,,
13073,"         901",SERVICE,562927,S,,40,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
13075,"         901",FGPAINT,561891,S,,60,,,,,,,,,,,,,,,,01/25/2022,,,,,,,,,,
13075,"         901",FGPAINT,647596,S,,60,,,,,,,,,,,,,,,,07/07/2022,,,,,,,,,,
13076,"         901",FGPAINT,646550,S,,60,,,,,,,,,,,,,,,,07/06/2022,,,,,,,,,,
13076,"         901",FGPAINT,646561,S,,60,,,,,,,,,,,,,,,,07/06/2022,,,,,,,,,,
13076,"         901",PP024,512376,S,,58,,,,,,,,,,,,,,,,08/11/2022,,,,,,,,,,
13076,"         901",SERVICE,269614,S,,5,,,,,,,,,,,,,,,,12/13/2021,,,,,,,,,,
13887,"         901",PP020,512067,S,,55,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
13888,"         901",F0NN03,606296,S,,60,,,,,,,,,,,,,,,,04/15/2022,,,,,,,,,,
13888,"         901",F0NN03,606324,S,,60,,,,,,,,,,,,,,,,04/15/2022,,,,,,,,,,
13888,"         901",F0NN03,645551,S,,60,,,,,,,,,,,,,,,,07/01/2022,,,,,,,,,,
13888,"         901",F0NN03,647913,S,,60,,,,,,,,,,,,,,,,07/08/2022,,,,,,,,,,
13958,"         901",FP010,645651,S,,2,,,,,,,,,,,,,,,,10/27/2022,,,,,,,,,,
13959,"         901",FGOF,386569,S,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
13960,"         901",FP016,724110,S,,36,,,,,,,,,,,,,,,,11/03/2022,,,,,,,,,,
13960,"         901",FP039,607279,S,,18,,,,,,,,,,,,,,,,07/18/2022,,,,,,,,,,
13960,"         901",TM06,752477,S,,7,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
13961,"         901",F0LL06,358148,S,,54,,,,,,,,,,,,,,,,01/06/2021,,,,,,,,,,
13961,"         901",F0LL06,370794,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",F0LL06,370826,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",F0LL06,370845,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",F0LL06,370854,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",F0LL06,370918,S,,54,,,,,,,,,,,,,,,,01/29/2021,,,,,,,,,,
13961,"         901",F0LL06,370931,S,,54,,,,,,,,,,,,,,,,01/29/2021,,,,,,,,,,
13961,"         901",F0LL06,370950,S,,54,,,,,,,,,,,,,,,,01/29/2021,,,,,,,,,,
13961,"         901",F0LL06,370963,S,,54,,,,,,,,,,,,,,,,01/29/2021,,,,,,,,,,
13961,"         901",F0LL06,370986,S,,54,,,,,,,,,,,,,,,,01/29/2021,,,,,,,,,,
13961,"         901",FGOF,370785,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",FGOF,370811,S,,54,,,,,,,,,,,,,,,,01/28/2021,,,,,,,,,,
13961,"         901",FGOF,380331,S,,54,,,,,,,,,,,,,,,,02/15/2021,,,,,,,,,,
13961,"         901",FP008,278666,S,,36,,,,,,,,,,,,,,,,08/04/2020,,,,,,,,,,
14015,"         901",FP005,723918,S,,23,,,,,,,,,,,,,,,,12/05/2022,,,,,,,,,,
